"Title","Places","Image","Location","Time","Info"
"List of World Heritage Sites in India","Red Fort Complex","https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Red_Fort_3.jpg/100px-Red_Fort_3.jpg","Delhi, India","1648","The Red Fort Complex, also known as Lal Qila is a palace fort built in the 17th century by Shahjahan (1628–58), the fifth Mughal emperor as part of his new capital city of Shahjahanabad. Located to the north of Delhi, it represents the glory of the Mughal rule and is considered the Highpoint of Mughal architectural, artistic aesthetic creativity. The architectural design of the structures built within the fort represents a blend of Persian, Timuri and Indian architectural styles; Isfahan, the Persian Capital is said to have provided the inspiration to build the Red Fort Complex. The planning and design of this complex, in a geometrical grid plan with pavilion structures, was the precursor of several monuments which were built later in Rajasthan, Delhi, Agra and other places. The palace complex has been fortified by an enclosure wall built with red sand stone (hence the name Red Fort). It is adjacent to the Salimgarh Fort on its north built by Islam Shah Suri in 1546 and is now part of the Red Fort Complex (area covered 120 acres) under the revised inscription of the UNESCO World Heritage List under categories (i),(ii), (iii) and (vi). Built between 1639 and 1648, enclosing an area of size 656 metres (2,152 ft) x 328 metres (1,076 ft) and raising to a height of 23 metres (75 ft) on the right bank of the Yamuna River, it is linked to the Salimgarh Fort through a bridge over an old river channel, now a city road. The palace within the fort complex, located behind the Diwan-i-Am (Hall of Public Audience), comprises a series of richly engraved marble palace pavilions, interconnected by water channels called the Nehr-i-Behishit meaning the ""Stream of Paradise"", the Diwane-i-khas (Private audience hall), several other essential private structures, and also the Moti Masjid (Pearl Mosque built by Emperor Aurangzeb).[61][62]"
"List of World Heritage Sites in India","The Jantar Mantar, Jaipur","https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Yantramandir01.jpg/100px-Yantramandir01.jpg","Jaipur, Rajasthan, India","1727 and 1734","The Jantar Mantar in Jaipur is a collection of architectural astronomical instruments, built by Maharaja (King) Jai Singh II at his then new capital of Jaipur between 1727 and 1734. It is modelled after the one that he had built at the Mughal capital of Delhi. He had constructed a total of five such facilities at different locations, including the ones at Delhi and Jaipur. The Jaipur observatory is the largest and best preserved of these and has a set of some 20 main fixed instruments built in masonry. It has been inscribed as cultural property on the UNESCO World Heritage List as ""an expression of the astronomical skills and cosmological concepts of the court of a scholarly prince at the end of the Mughal period.""[63][64]"
"List of World Heritage Sites in India","Western Ghats","https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/AgasthyarkoodamPeak.JPG/100px-AgasthyarkoodamPeak.JPG","Agasthyamalai Sub-Cluster",,"The Western Ghats, also known as the Sahyadri Mountains, a mountain range along the western side of India and one of the world's ten ""Hottest biodiversity hotspots"" (sub cluster nomination)[65][66][67] A total of thirty nine properties (including national parks, wildlife sanctuaries and reserve forests) were designated as World Heritage sites – twenty in the state of Kerala, ten in Karnataka, five in Tamil Nadu and four in Maharashtra.[68][69]"
"List of World Heritage Sites in India","Periyar Sub-Cluster",,,,
"List of World Heritage Sites in India","Anamalai Sub-Cluster",,,,
"List of World Heritage Sites in India","Nilgiri Sub-Cluster",,,,
"List of World Heritage Sites in India","Talakaveri Sub-Cluster (five properties)",,,,
"List of World Heritage Sites in India","Kudremukh Sub-Cluster (five properties)",,,,
"List of World Heritage Sites in India","Sahyadri Sub-Cluster",,,,
"List of World Heritage Sites in India","Hill Forts of Rajasthan","https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Chittorgarh_fort.JPG/100px-Chittorgarh_fort.JPG","Chittorgarh","7th to 16th centuries[70]","The Hill Forts of Rajasthan, are a series of sites located on rocky outcrops of the Aravallis mountain range in Rajasthan. They represent a typo of Rajput military hill architecture, a style characterized by its mountain peak settings, utilizing the defensive properties of the terrain. These hill forts in Rajasthan represent Rajput military strongholds across a vast range of geographical and cultural zones. The number of hill forts is said to express the development of Rajput defensive architecture and are examples of Rajput military architecture. Rajput forts are well known for their defensive architecture. They enclose large territories and even complete villages in walled compounds. The property consists of Chittor Fort, Kumbhalgarh Fort, Ranthambore Fort, Gagron Fort, Amer Fort, Jaisalmer Fort. These fort complexes include palaces, Hindu and Jain temples, urban centers and trading centers.[71] Due to the variety of built structures in each hill fort, only the most significant elements of each complex are described.[72][73]"
"List of World Heritage Sites in India","Kumbhalgarh",,,,
"List of World Heritage Sites in India","Ranthambhore",,,,
"List of World Heritage Sites in India","Amber Sub-Cluster",,,,
"List of World Heritage Sites in India","Jaisalmer",,,,
"List of World Heritage Sites in India","Gagron",,,,
"List of World Heritage Sites in India","Rani ki vav (The Queen's Stepwell)","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Rani_ki_vav_02.jpg/100px-Rani_ki_vav_02.jpg","Patan, Gujarat, India","11th century AD","Rani ki vav (The Queen's Stepwell) at Patan, Gujarat, is a famous stepwell It is famous for its size and sculpture. The length of Rani ki Vav is more than 64 m (210 ft) long, 20 m (66 ft) wide and 27 m (89 ft) deep and there are more than 500 sculptures of god. Most of the sculptures are in devotion to Vishnu, in the forms of Dus-Avatars Kalki, Rama, Mahisasurmardini, Narsinh, Vaman, Varahi and others representing their return to the world. Nagkanya, Yogini beautiful women – Apsara showcasing 16 different styles of make-up to look more attractive called Solah-shringar.[74][75][76]"
"List of World Heritage Sites in India","Great Himalayan National Park","https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/On_way_to_Sar_Pass-_colours_of_the_morning_I_IMG_7133.jpg/100px-On_way_to_Sar_Pass-_colours_of_the_morning_I_IMG_7133.jpg","Himachal Pradesh, India",,"The Great Himalayan National Park at Kullu, Himachal Pradesh, is characterized by high alpine peaks, alpine meadows and riverine forests. The 90,540 ha property includes the upper mountain glacial and snow melt water source origins of several rivers, and the catchments of water supplies that are vital to millions of downstream users. The GHNPCA protects the monsoon-affected forests and alpine meadows of the Himalayan front ranges. It is part of the Himalaya biodiversity hotspot and includes 25 forest types along with a rich assemblage of fauna species, several of which are threatened. This gives the site outstanding significance for biodiversity conservation.[77]"
"List of World Heritage Sites in India","Archaeological Site of Nalanda Mahavihara at Nalanda, Bihar","https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Nalanda_University_India_ruins.jpg/100px-Nalanda_University_India_ruins.jpg","Bihar, India","5th to 12th centuries","The Nalanda Mahavihara site is in the State of Bihar, in north-eastern India. It comprises the archaeological remains of a monastic and scholastic institution dating from the 3rd century BCE to the 13th century CE. It includes stupas, shrines, viharas (residential and educational buildings) and important art works in stucco, stone and metal. Nalanda stands out as the most ancient university of the Indian Subcontinent. It engaged in the organized transmission of knowledge over an uninterrupted period of 800 years. The historical development of the site testifies to the development of Buddhism into a religion and the flourishing of monastic and educational traditions.[78]"
"List of World Heritage Sites in India","Khangchendzonga National Park","https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Kangch-Goechala.jpg/100px-Kangch-Goechala.jpg","Sikkim, India",,"Located at the heart of the Himalayan range in northern India (State of Sikkim), the Khangchendzonga National Park includes a unique diversity of plains, valleys, lakes, glaciers and spectacular, snow-capped mountains covered with ancient forests, including the world's third highest peak, Mount Khangchendzonga.[79][80]"
"List of World Heritage Sites in India","The Architectural Work Of Le Corbusier","https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Palace_of_Assembly_Chandigarh_2006.jpg/100px-Palace_of_Assembly_Chandigarh_2006.jpg","Chandigarh, India","20th century","Chosen from the work of Le Corbusier, the 17 sites comprising this transnational serial property are spread over seven countries. Urban and Architectural Work of Le Corbusier in Chandigarh, is home to numerous architectural projects of Le Corbusier, Pierre Jeanneret, Matthew Nowicki and Albert Mayer.[81]"
"List of World Heritage Sites in India","Historic City of Ahmedabad","https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Teen_Darwaza_1880s.jpg/100px-Teen_Darwaza_1880s.jpg","Ahmedabad, Gujarat, India","15th century","The walled city of Ahmedabad, founded by Sultan Ahmad Shah I in the 15th century, on the eastern bank of the Sabarmati River, presents a rich architectural heritage from the sultanate period, notably the Bhadra citadel, the walls and gates of the Fort city and numerous mosques and tombs as well as important Hindu and Jain temples of later periods. The urban fabric is made up of densely-packed traditional houses (pols) in gated traditional streets (puras) with characteristic features such as bird feeders, public wells, and religious institutions. The city continued to flourish as the capital of the State of Gujarat for six centuries, up to the present.[82]"
"List of World Heritage Sites in India","The Victorian and Art Deco Ensemble of Mumbai","https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Bombay_-_The_High_Court_from_afar_%282006%29.jpg/100px-Bombay_-_The_High_Court_from_afar_%282006%29.jpg","Maharashtra,  India","1862","This is a collection of the Victorian Gothic buildings and Art Deco buildings. They are the Bombay High Court, Rajabai Clock Tower, Eros Cinema and the University of Mumbai.[83][84]"
